cast_id,movie_id,name,character,order
2803710,1087192,Mason Thames,Hiccup,0
2064124,1087192,Nico Parker,Astrid,1
17276,1087192,Gerard Butler,Stoick,2
11109,1087192,Nick Frost,Gobber,3
3792786,1087192,Gabriel Howell,Snoutlout,4
1139349,1087192,Julian Dennison,Fishlegs,5
1587577,1087192,Bronwyn James,Ruffnut,6
2104260,1087192,Harry Trevaldwyn,Tuffnut,7
1216581,1087192,Murray McArthur,Hoark,8
11115,1087192,Peter Serafinowicz,Spitelout,9
3399457,1087192,Naomi Wirthner,Gothi,10
2043430,1071585,Jenna Davis,M3GAN (voice),0
1255540,1071585,Allison Williams,Gemma,1
2131391,1071585,Violet McGraw,Cady,2
1243496,1071585,Ivanna Sakhno,AMELIA,3
3444018,1071585,Amie Donald,M3GAN,4
1071699,1071585,Brian Jordan Alvarez,Cole,5
2089274,1071585,Jen Van Epps,Tess,6
1776390,1071585,Aristotle Athari,Christian Bradley,7
52933,1071585,Timm Sharp,Agent Tim Sattler,8
55936,1071585,Jemaine Clement,Alton Appleton,9
2995568,1071585,Mayen Mehta,Naveen Tripathi,10
3988423,552524,Maia Kealoha,Lilo,0
3025125,552524,Sydney Agudong,Nani,1
66193,552524,Chris Sanders,Stitch (voice),2
58225,552524,Zach Galifianakis,Jumba,3
141034,552524,Billy Magnussen,Pleakley,4
24047,552524,Courtney B. Vance,Cobra Bubbles,5
59401,552524,Amy Hill,Tūtū,6
13445,552524,Tia Carrere,Mrs. Kekoa,7
4022587,552524,Kaipo Dudoit,David,8
1278487,552524,Hannah Waddingham,Grand Councilwoman (voice),9
58319,552524,Jason Scott Lee,Lū'au Manager,10
1256603,1311031,Natsuki Hanae,Tanjiro Kamado (voice),0
1563442,1311031,Akari Kito,Nezuko Kamado (voice),1
233590,1311031,Yoshitsugu Matsuoka,Inosuke Hashibira (voice),2
119145,1311031,Hiro Shimono,Zenitsu Agatsuma (voice),3
90571,1311031,Toshihiko Seki,Muzan Kibutsuji (voice),4
1452028,1311031,Reina Ueda,Kanao Tsuyuri (voice),5
1245094,1311031,Nobuhiko Okamoto,Genya Shinazugawa (voice),6
9705,1311031,Takahiro Sakurai,Giyu Tomioka (voice),7
24647,1311031,Katsuyuki Konishi,Tengen Uzui (voice),8
1324472,1311031,Kengo Kawanishi,Muichiro Tokito (voice),9
221773,1311031,Saori Hayami,Shinobu Kocho (voice),10
10127,1315986,Jon Voight,Sanborn,0
4161214,1315986,Adam Woodward,Ryder,1
20982,1315986,Marton Csokas,Soach,2
1262750,1315986,Charlotte Vega,Morgan,3
58428,1315986,Philip Winchester,Jack,4
201871,1315986,Charlotte Weston,Shelly,5
1365465,1315986,Jeff Alexander,Timmons,6
1739101,1315986,Nathan Cooper,Clerk,7
1121580,1315986,Tim Fellingham,Roger Hammond,8
5189432,1315986,Anaya Yalamov,Annie Hammond,9
4825454,1315986,Nico Seedsman,Thug,10
1785590,1061474,David Corenswet,Superman,0
993774,1061474,Rachel Brosnahan,Lois Lane,1
