id,title,release_date,popularity
1087192,드래곤 길들이기,2025-06-06,904.7178
1071585,메간 2.0,2025-06-25,608.4451
552524,릴로 & 스티치,2025-05-17,565.4793
1311031,극장판 귀멸의 칼날: 무한성편,2025-07-18,508.5982
1315986,맨 위드 노 패스트,2025-01-13,382.1417
1061474,슈퍼맨,2025-07-09,333.5035
1011477,가라데 키드: 레전드,2025-05-08,317.8487
1119878,아이스 로드: 벤전스,2025-06-27,296.3004
1124619,브라이드 하드,2025-06-19,315.3122
617126,판타스틱 4: 새로운 출발,2025-07-23,279.4076
541671,발레리나,2025-06-04,252.489
1234821,쥬라기 월드: 새로운 시작,2025-07-01,237.1881
1374534,어쩌다 파트너,2025-07-10,219.4051
803796,케이팝 데몬 헌터스,2025-06-20,211.4319
986056,썬더볼츠*,2025-04-30,201.3352
574475,파이널 데스티네이션: 블러드라인,2025-05-14,195.4472
1058537,"천사의 몰락, 평화의 전사들",2024-07-09,235.2762
846422,올드 가드 2,2025-07-01,167.3005
749170,국가 원수,2025-07-02,156.9191
968171,性教育ママ,1973-11-20,108.2958
911430,F1 더 무비,2025-06-25,144.233
1326106,괴수 8호: 미션 리컨,2025-03-28,130.2602
7451,트리플 엑스,2002-08-09,140.0562
1357933,겟 아웃: 셀러,2024-09-08,105.0624
1429744,지암,2025-07-09,110.17
947478,Diplodocus,2024-10-04,116.2809
615453,나타지마동강세,2019-07-26,121.9429
1136867,머티리얼리스트,2025-06-12,119.6993
1268870,Nudus,2024-04-11,117.3641
1406607,戏台,2025-07-12,99.3657
1285965,데인저러스 애니멀스,2025-06-05,107.0802
611251,女高生トリオ 性感試験,1977-02-23,121.8466
1151031,브링 허 백,2025-05-28,103.4383
1287536,Dora and the Search for Sol Dorado,2025-07-02,92.7851
1269208,84제곱미터,2025-07-17,96.1776
675308,호텔 레이크,2020-04-29,79.1405
1246369,반란: 무로마치 부라이,2025-01-17,84.4071
1275003,Spirit in the Blood,2024-11-07,85.5834
950387,A MINECRAFT MOVIE 마인크래프트 무비,2025-03-31,81.7709
575265,미션 임파서블: 파이널 레코닝,2025-05-17,87.0576
1236197,Juegos de Seducción,2025-07-18,79.6962
1087891,아마추어,2025-04-09,82.9016
1241634,सैयारा,2025-07-18,85.465
1243341,좀비스 4: 뱀파이어의 등장,2025-07-10,68.1958
1278950,리추얼,2025-04-18,71.5729
1233413,씨너스: 죄인들,2025-04-16,69.0773
605722,디스턴트,2024-07-12,69.1895
1403735,లైలా,2025-02-14,72.4312
1084153,Sneaks,2025-04-17,59.6813
11845,정사,2001-01-20,72.3058
1083433,나는 네가 지난 여름에 한 일을 알고 있다,2025-07-16,68.4776
715287,새엄마의 욕망,2020-05-29,66.4168
1257586,The Hangman,2024-05-30,62.8322
1100988,28년 후,2025-06-18,65.2514
1425045,브릭,2025-07-09,59.459
1442776,Kuang Bao Ju Xi,2024-03-27,61.2675
1294949,Mamá Reinventada,2025-05-08,65.5325
1010581,나의 잘못,2023-06-08,73.9345
1414272,나만 몰랐던 그녀들의 세계!,2025-02-07,62.2451
1103731,In Vitro,2025-03-27,52.2459
1311844,메가 트위스터스,2024-06-28,60.1541
1197306,워킹맨,2025-03-26,60.9873
259872,밤보다 더 아름다운 낮,2009-10-10,54.849
