정류장 고유번호,정류장 명,위도,경도
11100,세종시보건소(대동초),36.5955851,127.2953796
11101,세종시보건소(대동초),36.5955999,127.2935516
34110,대평리원형교차로,36.4600198,127.2805189
34111,대평리원형교차로,36.4600021,127.2807254
32087,삼성전기,36.5396464,127.3361428
32088,삼성전기,36.5395019,127.3359476
32089,리봄화장품,36.5451653,127.3308576
32090,리봄화장품,36.5450657,127.3305114
32091,명학산업단지입구,36.5492451,127.3280218
32092,명학산업단지입구,36.5491094,127.3277093
52048,선박안전기술공단,36.5150586,127.2422849
52049,선박안전기술공단,36.5149012,127.2424529
37071,유천리,36.6862,127.16905
37010,금사리,36.60927,127.17268
37022,달전1리,36.63113,127.17432
37019,달전2리입구,36.62698,127.17504
37018,달전2리입구,36.62677,127.17521
37020,달전2리입구,36.62685,127.17534
37057,세종미래산업단지,36.63987,127.17637
37056,세종미래산업단지,36.63972,127.17649
37055,양곡리,36.64323,127.17697
37054,양곡리,36.64316,127.1771
37068,유천2리,36.68292,127.17727
37066,유천2리,36.68278,127.17728
37024,달전리(태호농장),36.61601,127.17733
37023,달전리(태호농장),36.61607,127.17748
37031,민석아파트입구,36.6811,127.18134
37030,민석아파트입구,36.68099,127.18197
37047,신방1리(신암골),36.65099,127.18462
37048,신방1리(신암골),36.651,127.18479
37017,비암사입구,36.60406,127.1863
37016,비암사입구,36.60409,127.18662
37059,대전가톨릭대입구,36.65524,127.18733
37058,대전가톨릭대입구,36.65494,127.18734
37040,서정2리마을회관,36.69661,127.18893
37041,서정2리마을회관,36.69659,127.18911
37060,영당리(영성들),36.66042,127.18919
37042,서정리(고수골),36.69293,127.18937
37061,영당리(영성들),36.66047,127.18938
37014,다방1리마을회관,36.60319,127.18944
37038,서정2리,36.70042,127.18963
37039,서정2리,36.70041,127.18994
37033,부거실(아랫마을),36.62586,127.19001
37052,신흥리,36.66348,127.19092
37053,신흥리,36.66359,127.19113
37026,덕고개,36.68046,127.19186
37036,서정1리마을회관,36.68798,127.19183
37076,전의산연수원,36.70287,127.19218
37075,전의산연수원,36.70249,127.19243
37087,한국콜마,36.68087,127.19338
37051,신흥리(사사),36.66931,127.19429
37064,원성2리,36.67112,127.19515
37063,원성2리,36.67103,127.19527
37082,전의중학교,36.68024,127.19736
37034,부거실(윗마을),36.62444,127.19807
37005,관정1리,36.69898,127.19813
37006,관정1리,36.69905,127.19826
37062,원성리(죽근마을),36.67622,127.19936
37080,전의역,36.67939,127.20358
37079,전의역,36.67953,127.2036
37078,전의역,36.67933,127.20402
37081,전의역,36.67946,127.20405
37044,성호아파트,36.68196,127.20455
37003,갈정교,36.68911,127.20517
37004,갈정교,36.68899,127.2053
37025,대추리,36.6932,127.2057
37072,재동아파트,36.6794,127.2066
35044,은용리,36.489195,127.195662
36032,번암터,36.56317,127.25387
36080,연서초등학교,36.58203,127.25394
36074,연서감리교회,36.57759,127.25602
36018,연서감리교회,36.57767,127.25632
36079,연서중학교,36.58099,127.25676
36078,연서중학교,36.58113,127.25696
36003,고복1리마을회관,36.60462,127.25795
36017,국촌2리,36.57727,127.25925
36016,국촌2리,36.57711,127.25936
36083,와촌1리(대실),36.55868,127.26061
36084,와촌1리(대실),36.55887,127.26078
36038,서면,36.58632,127.26114
36039,서면,36.58628,127.26126
36008,고복1리,36.59675,127.2614
36001,고복1리,36.59669,127.26154
36045,성제2리,36.59151,127.26172
36041,서세종농협,36.58857,127.26386
36042,서세종농협,36.58847,127.26396
36044,성제삼거리,36.58916,127.26419
36048,성제삼거리,36.58922,127.26433
36040,국촌2리마을회관,36.57566,127.26499
34079,영대1리마을회관,36.45845,127.33336
34099,황용사,36.47403,127.33406
34098,황용사,36.47385,127.3342
34092,초정약수터,36.47949,127.33524
34080,영대리,36.46787,127.33543
34081,영대리,36.4678,127.33567
34091,초정약수터,36.47936,127.3358
34026,달전리(한울농장),36.46182,127.34222
34025,달전리(한울농장),36.4617,127.34258
34029,대박리(광덕사),36.47818,127.34409
34059,부용1리,36.49752,127.34413
34031,대박리(광덕사),36.47829,127.34445
34060,부용1리,36.49779,127.34486
34022,달전리,36.45984,127.34676
34023,달전리,36.45978,127.34699
34027,달전리마을회관,36.462221,127.349332
34028,대박리,36.47707,127.3494
34030,대박리,36.47716,127.34951
34048,망골,36.45954,127.35183
34047,망골,36.45971,127.35184
34049,박산리(작약골),36.47709,127.35183
34051,박산리,36.4773,127.35433
34062,부용2리,36.5125,127.35861
34061,부용2리,36.51229,127.35845
34006,박산고개,36.47516,127.36239
33007,금호2리노인회관,36.50201,127.35459
33008,금호2리노인회관,36.50221,127.35515
33003,갈산2리,36.53756,127.35598
33002,갈산2리,36.53772,127.35615
33005,금호2리공단입구,36.50417,127.358
33041,산수리입구,36.55433,127.35824
33029,부강리,36.53303,127.35955
33030,부강리,36.53291,127.36088
33037,부강역,36.53189,127.36464
33010,금호3리,36.50934,127.36516
33038,부강역,36.53192,127.36517
33032,부강면,36.52986,127.36613
33044,아시아제지기숙사,36.49129,127.36638
33040,부강초등학교,36.52823,127.36714
33001,갈산리,36.5466,127.3677
33035,부강3리,36.52795,127.368
33036,부강3리,36.52793,127.3682
33050,한화사원아파트,36.52627,127.36823
33051,한화사원아파트,36.52607,127.36838
33011,부강9리,36.51895,127.36841
33027,부강성당(부강청소년문화관),36.52811,127.3702
33039,부강성당(부강청소년문화관),36.52822,127.37038
33033,부강삼거리,36.52792,127.372
32048,용호2리,36.537366,127.313598
32039,예양2리,36.5808639,127.3172522
32051,용호3리,36.536552,127.317421
